areald,areaName,paCropSpeld,paCropName,paCropSpeName
5013000008,서귀포,PA250101,양파,조생종
4677000088,고흥,PA250101,양파,조생종
4684000088,무안,PA250101,양파,조생종
4887000000,함양,PA250201,양파,중만생종
4682000088,해남,PA250201,양파,중만생종
4684000088,무안,PA250201,양파,중만생종
4715000088,김천,PA250201,양파,중만생종
4874000088,창녕,PA250201,양파,중만생종
4889000088,합천,PA250201,양파,중만생종
4686000000,함평,PA250201,양파,중만생종
4691000001,신안,PA250201,양파,중만생종
4817000001,진주,PA360101,호박,애호박
4272000088,홍천,PA360101,호박,애호박
4476000088,부여,PA360101,호박,애호박
4211000000,춘천,PA360101,호박,애호박
4311300001,청주,PA360101,호박,애호박
4825000000,김해,PA090101,대파,봄대파
4136000088,남양주,PA090101,대파,봄대파
4420000088,아산,PA090101,대파,봄대파
4571000088,완주,PA090101,대파,봄대파
4579000088,고창,PA090101,대파,봄대파
4580000088,부안,PA090101,대파,봄대파
2700000088,대구,PA090101,대파,봄대파
2600000088,부산,PA090101,대파,봄대파
4128100001,고양,PA090101,대파,봄대파
4131000001,구리,PA090101,대파,봄대파
4215000002,강릉,PA090101,대파,봄대파
4421000001,서산,PA090101,대파,봄대파
4150000088,이천,PA090201,대파,여름대파
4420000088,아산,PA090201,대파,여름대파
4571000088,완주,PA090201,대파,여름대파
4580000088,부안,PA090201,대파,여름대파
4155000000,안성,PA090201,대파,여름대파
4167000001,여주,PA090201,대파,여름대파
4311300001,청주,PA090201,대파,여름대파
4421000001,서산,PA090201,대파,여름대파
4825000000,김해,PA090301,대파,가을대파
4150000088,이천,PA090301,대파,가을대파
4276000088,평창,PA090301,대파,가을대파
4420000088,아산,PA090301,대파,가을대파
4571000088,완주,PA090301,대파,가을대파
4579000088,고창,PA090301,대파,가을대파
4580000088,부안,PA090301,대파,가을대파
2600000088,부산,PA090301,대파,가을대파
4128100001,고양,PA090301,대파,가을대파
4155000000,안성,PA090301,대파,가을대파
4167000001,여주,PA090301,대파,가을대파
4215000002,강릉,PA090301,대파,가을대파
4421000001,서산,PA090301,대파,가을대파
4825000000,김해,PA090401,대파,겨울대파
4687000088,영광,PA090401,대파,겨울대파
2600000088,부산,PA090401,대파,겨울대파
4690000001,진도,PA090401,대파,겨울대파
4691000001,신안,PA090401,대파,겨울대파
4825000000,김해,PA280101,오이,가시계통
4827000001,밀양,PA280101,오이,가시계통
4874000088,창녕,PA280101,오이,가시계통
4725000000,상주,PA280201,오이,다다기계통
4817000001,진주,PA280201,오이,다다기계통
4279000088,화천,PA280201,오이,다다기계통
4375000088,진천,PA280201,오이,다다기계통
4122000000,평택,PA280201,오이,다다기계통
4155000000,안성,PA280201,오이,다다기계통
4211000000,춘천,PA280201,오이,다다기계통
4413100001,천안,PA280201,오이,다다기계통
4375000088,진천,PA280301,오이,취청
4575000088,강진,PA280301,오이,취청
4615000088,순천,PA280301,오이,취청
4673000088,구례,PA280301,오이,취청
4311300001,청주,PA280301,오이,취청
4413100001,천안,PA280301,오이,취청
4725000000,상주,PA230101,쌀,일반계
4159000088,화성,PA230101,쌀,일반계
4278000088,철원,PA230101,쌀,일반계
4677000088,고흥,PA230101,쌀,일반계
4682000088,해남,PA230101,쌀,일반계
4421000001,서산,PA230101,쌀,일반계
4514000001,익산,PA230101,쌀,일반계
4518000000,정읍,PA230101,쌀,일반계
4521000001,김제,PA230101,쌀,일반계
